;shap;shap;shap;shap;shap;shap;mutual_information;mutual_information;mutual_information;mutual_information;mutual_information;mutual_information;f_val;f_val;f_val;f_val;f_val;f_val;baseline;baseline;baseline;baseline;baseline;baseline;ppfs;ppfs;ppfs;ppfs;ppfs;ppfs
;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std
21;0.9707471970716408;0.001345285392727906;0.9611364136413642;0.002777132493751953;0.9655886504439325;0.0021103728460274;0.9649449931427956;0.001761361963966864;0.9559438943894388;0.0018922522823169748;0.9601490989664025;0.001764911781359495;0.961632731792478;0.0022300749318863466;0.949993399339934;0.0026506919117959705;0.9553332944720678;0.0024319334448807354;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
22;0.9664198926037736;0.002066068368717633;0.9546501650165016;0.003049633770180255;0.9600393091955957;0.0025988457399505373;0.9643798284662249;0.0020831919993800573;0.954953795379538;0.0022453235083427607;0.9593497045213345;0.0021382314545968493;0.9600135089933755;0.002157536446078834;0.9470231023102311;0.002926604613756856;0.952913650678944;0.0025414769295493277;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
23;0.9712259193732706;0.002053466709749426;0.9592673267326732;0.0031328847829537095;0.9647202085222464;0.002554532328678623;0.9622503411690806;0.0016168745923688234;0.9524180418041805;0.0022976405832197547;0.9569828483605918;0.0019663528610859536;0.9600135089933755;0.002157536446078834;0.9470231023102311;0.002926604613756856;0.952913650678944;0.0025414769295493277;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
24;0.9685921854655668;0.0015747590403095574;0.9586006600660066;0.002101955644471142;0.9632412259223218;0.0018169395558951251;0.9627685535788147;0.0020445470259239295;0.951973597359736;0.003098701331520821;0.956928088240816;0.0025620640974811986;0.9589240313060486;0.002713302758041234;0.94503300330033;0.0038591178667169456;0.9512841110194972;0.0033455543581416753;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
25;0.9633044124338316;0.002640852159523182;0.9501243124312431;0.00484823801388853;0.9560138034824357;0.0038820111710436583;0.9622416357351321;0.0021040302677817627;0.9524081408140814;0.0029206785025537186;0.9569733873121606;0.0025476325239348744;0.9589054719640362;0.002833071521724032;0.945023102310231;0.003777881059845138;0.951282746995348;0.003351483368886064;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
26;0.9654148758396627;0.0015707999853841435;0.954084708470847;0.0032170619959960927;0.95925715817313;0.0024493249653534323;0.9633064517842751;0.0016009708624348772;0.952973597359736;0.0020849442119643116;0.9577456850193883;0.0017649472611299271;0.9589157081480751;0.0030110161956292143;0.94503300330033;0.004237156218388566;0.9512803671164878;0.0037034808808221707;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
27;0.9664347258100395;0.0014536249812246377;0.9546402640264027;0.0027066572478671117;0.9600283246480847;0.0021158585493957836;0.9622503411690806;0.0016168745923688234;0.9524180418041805;0.0022976405832197547;0.9569828483605918;0.0019663528610859536;0.9594489137810989;0.0027942659578133015;0.946023102310231;0.0036985675664525457;0.9520965858208351;0.003291174481214445;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
28;0.9627251911109894;0.0020332366059982896;0.9505489548954895;0.0028902908747616297;0.9560875451931883;0.002399284549324658;0.964367475302615;0.001633110397280208;0.9535291529152914;0.0022917172148934394;0.9585045363268746;0.0018489371822577945;0.9605694107078679;0.002906460396704723;0.9465786578657867;0.004546533876190498;0.9528377839312883;0.0037885691115262304;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
29;0.9653807750001464;0.002738871699880727;0.9540748074807481;0.003548468372078474;0.95925473832701;0.0031317388955598257;0.9669919728791807;0.0009700576458653327;0.9556204620462048;0.0022851789567454894;0.9608309510354711;0.0016505807717251868;0.9611256827621715;0.002598666329363325;0.9475786578657865;0.004288946571897197;0.9536511048863879;0.0035021244488322814;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
30;0.9659648093544131;0.0023363111788034167;0.955074807480748;0.0034840112711534356;0.9600559037998728;0.0028757468461341642;0.9654423107943643;0.0026570730586970236;0.9554994499449945;0.003562449543564039;0.9600914047597533;0.003090135421448181;0.9622073826020945;0.00278403030298619;0.9495588558855885;0.004505781317156325;0.9552588682913434;0.0037175255230586387;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
31;0.9669883243785098;0.0021336461509817127;0.9556204620462048;0.003776709039838658;0.9608108004513142;0.0030289051494725725;0.9660032092213953;0.0022100495484664064;0.9564994499449945;0.0029743608267991605;0.9609005629857412;0.0025371303946350038;0.960082696864559;0.0021837165024107246;0.9470231023102311;0.004126528459267269;0.9528879311645582;0.0032464988231027596;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
32;0.964973195007271;0.0019525929914375759;0.9559438943894388;0.002891761571321923;0.9601370865314227;0.002388255476065528;0.964973195007271;0.0019525929914375759;0.9559438943894388;0.002891761571321923;0.9601370865314227;0.002388255476065528;0.9611447482027897;0.001988355175880795;0.9490033003300329;0.0033960146224264135;0.9545123585842294;0.0027130944229973504;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
